arquivo;curso_codigo;curriculo_ordinal;curriculo_disciplina;curriculo_ch_horas;numero_ue;topico;ue_ch_horas;destino_disciplina_codigo;fundamento_normativo;fundamento_origem;observacao;motivo_da_exclusao
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;I;INFORMÁTICA APLICADA À HIDROGRAFIA;45;1;SISTEMAS COMPUTACIONAIS;10;3 - CAHO - I;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;I;INFORMÁTICA APLICADA À HIDROGRAFIA;45;2;EDITOR DE TEXTO, PLANILHA E APLICATIVO GRÁFICO;8;3 - CAHO - I;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;I;INFORMÁTICA APLICADA À HIDROGRAFIA;45;3;SISTEMAS GERENCIADORES DE BANCO DE DADOS;11;3 - CAHO - I;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;I;INFORMÁTICA APLICADA À HIDROGRAFIA;45;4;PROGRAMAÇÃO;16;3 - CAHO - I;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;II;OCEANOGRAFIA;87;1;PROPRIEDADES DA ÁGUA DO MAR;13;4 - CAHO - II;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;II;OCEANOGRAFIA;87;2;O CAMPO DE DENSIDADE;4;4 - CAHO - II;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;II;OCEANOGRAFIA;87;3;CAMPO DE GRAVIDADE NO MAR;3;4 - CAHO - II;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;II;OCEANOGRAFIA;87;4;O CAMPO DE PRESSÃO;2;4 - CAHO - II;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;II;OCEANOGRAFIA;87;5;A EQUAÇÃO DO MOVIMENTO;5;4 - CAHO - II;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;II;OCEANOGRAFIA;87;6;O MOVIMENTO GEOSTRÓFICO;3;4 - CAHO - II;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;II;OCEANOGRAFIA;87;7;CORRENTES PRODUZIDAS PELO VENTO;5;4 - CAHO - II;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;II;OCEANOGRAFIA;87;8;CIRCULAÇÃO GERAL DOS OCEANOS;10;4 - CAHO - II;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;II;OCEANOGRAFIA;87;9;ONDAS;10;4 - CAHO - II;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;II;OCEANOGRAFIA;87;10;PLANEJAMENTO E EXECUÇÃO DE LEVANTAMENTO OCEANOGRÁFICO;32;4 - CAHO - II;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;III;ESTATÍSTICA;39;1;INTRODUÇÃO À ANÁLISE ESTATÍSTICA;4;5 - CAHO - III;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;III;ESTATÍSTICA;39;2;INTRODUÇÃO À TEORIA DAS PROBABILIDADES;3;5 - CAHO - III;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;III;ESTATÍSTICA;39;3;VARIÁVEIS ALEATÓRIAS;3;5 - CAHO - III;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;III;ESTATÍSTICA;39;4;DISTRIBUIÇÕES DE PROBABILIDADE;5;5 - CAHO - III;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;III;ESTATÍSTICA;39;5;FUNÇÕES DE VARIÁVEIS ALEATÓRIAS;5;5 - CAHO - III;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;III;ESTATÍSTICA;39;6;AMOSTRAGEM ESTATÍSTICA;5;5 - CAHO - III;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;III;ESTATÍSTICA;39;7;ESTIMAÇÃO DE PARÂMETROS;3;5 - CAHO - III;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;III;ESTATÍSTICA;39;8;TESTE DE HIPÓTESES;3;5 - CAHO - III;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;III;ESTATÍSTICA;39;9;AJUSTE DE CURVAS, REGRESSÃO E CORRELAÇÃO;8;5 - CAHO - III;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;IV;TOPOGRAFIA;148;1;CONCEITOS INTRODUTÓRIOS;4;6 - CAHO - IV;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;IV;TOPOGRAFIA;148;2;MEDIÇÃO DE ÂNGULOS;20;6 - CAHO - IV;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;IV;TOPOGRAFIA;148;3;MEDIÇÃO DE DISTÂNCIAS;16;6 - CAHO - IV;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;IV;TOPOGRAFIA;148;4;NIVELAMENTO;16;6 - CAHO - IV;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;IV;TOPOGRAFIA;148;5;POSICIONAMENTO TOPOGRÁFICO;52;6 - CAHO - IV;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;IV;TOPOGRAFIA;148;6;LEVANTAMENTO TOPOGRÁFICO;40;6 - CAHO - IV;Of no 10-6/2025;oficio;;
