arquivo;curso_sigla;disciplina_ordinal;disciplina_nome;disciplina_ch_horas;numero_ue;topico;ue_ch_horas;qtd_subunidades;subunidades
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;I;INFORMÁTICA APLICADA À HIDROGRAFIA;45;1;SISTEMAS COMPUTACIONAIS;10;3;"Arquitetura e sistema operacional | Comunicação e sincronia; e | Redes de Computadores, Internet e armazenamento em nuvem"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;I;INFORMÁTICA APLICADA À HIDROGRAFIA;45;2;EDITOR DE TEXTO, PLANILHA E APLICATIVO GRÁFICO;8;2;"Editor de texto e planilha eletrônica; e | Aplicativo gráfico"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;I;INFORMÁTICA APLICADA À HIDROGRAFIA;45;3;SISTEMAS GERENCIADORES DE BANCO DE DADOS;11;5;"Modelos conceitual e lógico | Tipos de arquivos | Bancos de dados relacionais | Linguagem SQL (data definition language e data manipulation language); e | Banco de dados geoespaciais"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;I;INFORMÁTICA APLICADA À HIDROGRAFIA;45;4;PROGRAMAÇÃO;16;2;"Noções de programação; e | Implementação de programas"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;II;OCEANOGRAFIA;87;1;PROPRIEDADES DA ÁGUA DO MAR;13;9;"Componentes da água do mar | Comportamento espectral da luz no mar | Principais nutrientes e gases dissolvidos nos oceanos | Distribuição da salinidade nos oceanos | Distribuição da temperatura nos oceanos | Balanço térmico dos oceanos | Interação oceano-atmosfera | Distribuição da densidade da água nos oceanos; e | Análise de massas de água de Plataformas Continentais"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;II;OCEANOGRAFIA;87;2;O CAMPO DE DENSIDADE;4;3;"Equação da continuidade | Interpretação dos termos da equação de estado da água do mar; e | Análise do campo de massa"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;II;OCEANOGRAFIA;87;3;CAMPO DE GRAVIDADE NO MAR;3;2;"Variação horizontal e vertical da gravidade do mar; e | Geopotencial"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;II;OCEANOGRAFIA;87;4;O CAMPO DE PRESSÃO;2;2;"As forças induzidas pelo campo de pressão; e | Anomalias geopotenciais"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;II;OCEANOGRAFIA;87;5;A EQUAÇÃO DO MOVIMENTO;5;1;A equação do movimento para os oceanos
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;II;OCEANOGRAFIA;87;6;O MOVIMENTO GEOSTRÓFICO;3;2;"A equação do movimento geostrófico; e | Cálculo do fluxo geostrófico"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;II;OCEANOGRAFIA;87;7;CORRENTES PRODUZIDAS PELO VENTO;5;1;Teoria de Ekman
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;II;OCEANOGRAFIA;87;8;CIRCULAÇÃO GERAL DOS OCEANOS;10;4;"Sistemas de correntes de superfície dos oceanos | Circulação termohalina do Atlântico Sul | Frentes e vórtices oceânicos; e | Fontes internacionais de dados oceanográficos (bancos de dados)"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;II;OCEANOGRAFIA;87;9;ONDAS;10;9;"Forças geradoras de onda no mar | Teoria linear de Airy | A geração e propagação de ondas de gravidade no mar | Transformação das ondas em águas intermediárias e rasas | Células de circulação litorânea na zona de arrebentação | Zona de arrebentação | Morfologia praial devido à ação das ondas | Medições de ondas por meio de radares e boias; e | Tsunamis"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;II;OCEANOGRAFIA;87;10;PLANEJAMENTO E EXECUÇÃO DE LEVANTAMENTO OCEANOGRÁFICO;32;7;"Planejamento de uma comissão oceanográfica | Coleta e conservação de amostras de água do mar | Medição dos parâmetros oceanográficos | Registro de dados oceanográficos | Tratamento dos dados coletados em uma Estação Oceanográfica | Representação gráfica dos parâmetros oceanográficos; e | Levantamento oceanográfico"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;III;ESTATÍSTICA;39;1;INTRODUÇÃO À ANÁLISE ESTATÍSTICA;4;6;"Conceito de análise de dados estatísticos | Tipos de variáveis | Distribuição de frequências | Classes, limites, larguras, marcas e fronteiras | Medidas descritivas; e | Gráficos"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;III;ESTATÍSTICA;39;2;INTRODUÇÃO À TEORIA DAS PROBABILIDADES;3;3;"Experimentos aleatórios | Probabilidade; e | Teorema de Bayes"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;III;ESTATÍSTICA;39;3;VARIÁVEIS ALEATÓRIAS;3;3;"Princípios de variáveis aleatórias | Tipos de variáveis aleatórias; e | Expectância matemática e variância"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;III;ESTATÍSTICA;39;4;DISTRIBUIÇÕES DE PROBABILIDADE;5;3;"Função densidade de probabilidade | Distribuições discretas de probabilidade; e | Distribuições contínuas de probabilidade"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;III;ESTATÍSTICA;39;5;FUNÇÕES DE VARIÁVEIS ALEATÓRIAS;5;4;"Funções de variáveis aleatórias discretas | Funções de variáveis aleatórias contínuas | Distribuições marginal e condicionada; e | Variáveis aleatórias independentes"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;III;ESTATÍSTICA;39;6;AMOSTRAGEM ESTATÍSTICA;5;3;"Introdução à amostragem estatística | Teorema do Limite Central; e | Estatísticas amostrais"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;III;ESTATÍSTICA;39;7;ESTIMAÇÃO DE PARÂMETROS;3;2;"Métodos de estimação de parâmetros; e | Intervalos de confiança"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;III;ESTATÍSTICA;39;8;TESTE DE HIPÓTESES;3;2;"Hipóteses estatísticas para a média; e | Hipóteses estatísticas para a variância"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;III;ESTATÍSTICA;39;9;AJUSTE DE CURVAS, REGRESSÃO E CORRELAÇÃO;8;4;"Ajuste de curvas | O método dos mínimos quadrados | Regressão linear e múltipla; e | Coeficiente de correlação e covariância"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;IV;TOPOGRAFIA;148;1;CONCEITOS INTRODUTÓRIOS;4;2;"Propósitos da Topografia; e | Operações Topográficas no LH"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;IV;TOPOGRAFIA;148;2;MEDIÇÃO DE ÂNGULOS;20;5;"Instrumentos de medição angular: Teodolito e Estação Total | Medição angular com teodolito ótico-mecânico | Medição angular com estação total | Prática de medição de ângulos horizontais e verticais; e | Documentação das atividades de medição angular"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;IV;TOPOGRAFIA;148;3;MEDIÇÃO DE DISTÂNCIAS;16;4;"Processos de medição de distâncias em topografia | Medição indireta de distâncias pelo método ótico | Medição indireta de distâncias pelo método eletrônico; e | Correções atmosféricas e radiométricas"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;IV;TOPOGRAFIA;148;4;NIVELAMENTO;16;7;"Questão da altitude na Cartografia Náutica | Instrumentos de nivelamento | Nivelamento geométrico | Nivelamento trigonométrico | Efeitos de curvatura e refração | Níveis de redução e correção de datum de altitude; e | Documentação das atividades de nivelamento"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;IV;TOPOGRAFIA;148;5;POSICIONAMENTO TOPOGRÁFICO;52;2;"Sistemas de coordenadas planas; e | Posicionamento topográfico por meio de métodos planimétricos e altimétricos"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;IV;TOPOGRAFIA;148;6;LEVANTAMENTO TOPOGRÁFICO;40;3;Planejamento de um levantamento topográfico: aspectos logísticos e controle | Execução de levantamento topográfico aplicando os métodos planimétricos e | Análise dos resultados do levantamento topográfico
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;V;METEOROLOGIA;78;1;FUNDAMENTOS E OBSERVAÇÃO DO TEMPO;14;5;"Estrutura vertical e variabilidade da atmosfera | Dados atmosféricos e tipos de observação | Temperatura e umidade | Condensação: ponto de orvalho e de geada, nevoeiros; e | Estabilidade e formação de nuvens e precipitação"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;V;METEOROLOGIA;78;2;PRESSÃO ATMOSFÉRICA E VENTOS;14;5;"Pressão atmosférica | Direção e velocidade do vento | Vento geostrófico e sua variabilidade | Vento: convergência, divergência e movimento vertical; e | Estado do mar: ondas geradas pelo vento"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;V;METEOROLOGIA;78;3;VENTOS E A CIRCULAÇÃO GERAL DA ATMOSFERA;12;3;"Sistemas globais de vento e pressão | Ventos locais: brisa marítima e ventos anabáticos e catabáticos; e | Interação oceano-atmosfera e variações na circulação atmosférica"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;V;METEOROLOGIA;78;4;PREVISÃO DO TEMPO: SISTEMAS ATMOSFÉRICOS;12;4;"Massas de ar (Anticiclones) e frentes | Ciclones: tropicais subtropicais e extratropicais | Tempestades severas; e | Sistemas sinóticos que atuam no Brasil"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;V;METEOROLOGIA;78;5;PREVISÃO DO TEMPO: TÉCNICAS DE PREVISÃO;14;4;"Princípios da previsão do tempo | Cartas e gráficos sinóticos para a previsão do tempo | Boletins e avisos meteorológicos; e | Previsão numérica do tempo"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;V;METEOROLOGIA;78;6;METEOROLOGIA APLICADA NA MB;12;3;"Códigos meteorológicos e intercâmbio internacional de dados | NAVEMARINST10-11 e NORMAM-19; e | Meteorologia nos LH"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VI;GEODÉSIA;107;1;INTRODUÇÃO À GEODÉSIA;10;2;"Histórico e conceitos introdutórios; e | Sistemas de coordenadas e tempo utilizados em Geodésia"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VI;GEODÉSIA;107;2;GEODÉSIA GEOMÉTRICA;13;2;"Introdução à Geodésia Geométrica; e | Geometria no elipsoide de revolução"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VI;GEODÉSIA;107;3;GEODÉSIA FÍSICA;8;2;"Campo gravitacional da terra; e | Métodos de Determinação do Geoide e Altitudes"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VI;GEODÉSIA;107;4;SISTEMAS GEODÉSICOS DE REFERÊNCIA;9;3;"Sistemas geodésicos clássicos e sistemas geodésicos geocêntricos | Sistemas geodésicos e data brasileiros; e | Influência da gravidade no elipsoide terrestre"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VI;GEODÉSIA;107;5;CÁLCULOS GEODÉSICOS;17;3;Transporte de coordenadas sobre a superfície do Elipsoide | Transformação de coordenadas Geodésicas em Planas UTM (Universal Transverso | Transformações entre sistemas geodésicos
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VI;GEODÉSIA;107;6;POSICIONAMENTO GEODÉSICO COM SATÉLITES ARTIFICIAIS;50;6;"Geometria das Órbitas | Sistemas e sinais do GNSS | Observáveis GNSS e Fontes de Erros | Métodos e técnicas de posicionamento relativo e absoluto | Planejamento do rastreio GNSS; e | Prática de rastreio GNSS"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VII;GEOLOGIA E GEOFÍSICA MARINHA;40;1;GEOLOGIA;4;1;Conceitos elementares
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VII;GEOLOGIA E GEOFÍSICA MARINHA;40;2;ESTRUTURA DA TERRA;2;2;"Estrutura interna da terra; e | Origem do campo magnético terrestre"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VII;GEOLOGIA E GEOFÍSICA MARINHA;40;3;TECTÔNICA DE PLACAS;4;1;Teoria da Deriva Continental
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VII;GEOLOGIA E GEOFÍSICA MARINHA;40;4;FISIOGRAFIA DO FUNDO OCEÂNICO;4;1;Margem continental, bacia oceânica e cordilheira oceânica
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VII;GEOLOGIA E GEOFÍSICA MARINHA;40;5;TIPOS DE MARGEM;4;1;Margem passiva e ativa
